"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[10,2]","latent",1.00970663865381,101.698822232969,58.0750191036247,1,"primary",6
"U[11,2]","latent",1.11168243272292,15.805607097859,81.0234541577826,1,"primary",6
"U[13,2]","latent",1.03506196914644,64.8110451983437,57.9755501222494,1,"primary",6
"U[14,2]","latent",1.01541780072363,116.457518768127,96.4201003916377,1,"primary",6
"U[15,2]","latent",1.01166774578232,69.1848330787789,43.6306047708601,1,"primary",6
"U[16,2]","latent",1.04533993507225,152.247198959355,57.315233785822,1,"primary",6
"U[17,2]","latent",1.03240116259111,99.4984341159876,87.1124173401911,1,"primary",6
"U[18,2]","latent",1.06369597728896,24.1333936588366,20.7536865101038,1,"primary",6
"U[19,2]","latent",1.00981798378241,96.9142814972789,95.5974842767296,1,"primary",6
"U[20,2]","latent",1.02601640022191,56.131723830796,71.568948575172,1,"primary",6
"U[21,2]","latent",1.02192119806191,85.005862130545,65.0713501646542,1,"primary",6
"U[22,2]","latent",1.05522490257462,33.569391280969,60.3612003176905,1,"primary",6
"U[23,2]","latent",1.00653944318536,81.6155531041871,93.4809348093481,1,"primary",6
"U[24,2]","latent",1.04558026632683,101.580226416904,60.3612003176905,1,"primary",6
"U[25,2]","latent",1.02594974937456,72.6668003983437,83.8341574743248,1,"primary",6
"U[26,2]","latent",1.11745309191537,61.2605101913918,87.112417340191,1,"primary",6
"U[27,2]","latent",1.0149024370428,62.4207180674313,60.3612003176905,1,"primary",6
"U[28,2]","latent",1.0655106075435,23.2999816279767,27.2988505747126,1,"primary",6
"U[29,2]","latent",1.03555293763422,60.683298449493,60.3612003176906,1,"primary",6
"U[30,2]","latent",1.05160567784761,54.1436703052522,74.3789209535759,1,"primary",6
"U[31,2]","latent",1.01330341833913,101.766539174915,73.6754136720708,1,"primary",6
"U[32,2]","latent",1.00869772294884,83.206372673232,74.3789209535759,1,"primary",6
"U[33,2]","latent",0.996634241674915,77.124569320575,91.4902449149025,1,"primary",6
"U[34,2]","latent",1.08472283899222,42.93621648805,67.266900656188,1,"primary",6
"U[35,2]","latent",1.01142985606067,73.9172867893672,83.2222433822129,1,"primary",6
"U[36,2]","latent",1.15141626805405,11.5127634960242,43.1284103310295,1,"primary",6
"U[37,2]","latent",0.997061570684642,126.37317060127,78.9378612716763,1,"primary",6
"U[38,2]","latent",1.02808641171637,48.6642671973024,50.0464330941326,1,"primary",6
"U[39,2]","latent",1.05576987994113,38.501795387574,54.3660582141095,1,"primary",6
"U[40,2]","latent",1.09245366437667,20.7539266141886,54.3660582141095,1,"primary",6
"U[41,2]","latent",1.03267411664555,71.4634714337419,95.0761828388132,1,"primary",6
"U[42,2]","latent",1.06410853636679,28.0855048545394,91.4902449149025,1,"primary",6
"U[43,2]","latent",1.04163680204094,88.9231944471816,97.2424442973748,1,"primary",6
"U[44,2]","latent",1.04866042124856,46.4524856680019,79.5237236153707,1,"primary",6
"U[45,2]","latent",1.02174855147926,65.4637541993938,99.5500882738197,1,"primary",6
"U[46,2]","latent",1.03957300650743,127.389318948682,93.4809348093481,1,"primary",6
"U[47,2]","latent",1.00949441735273,69.7773907365927,85.5437016736812,1,"primary",6
"U[48,2]","latent",1.00492165049862,98.7678512275826,75.6348661633493,1,"primary",6
"U[49,2]","latent",0.993084402289064,104.050369688527,57.9755501222494,1,"primary",6
"U[50,2]","latent",1.09644303652053,17.648856217407,85.5437016736811,1,"primary",6
"U[51,2]","latent",1.00326138418917,101.377740239841,80.1081081081081,1,"primary",6
"U[52,2]","latent",0.992844176286047,86.935129840381,60.3612003176905,1,"primary",6
"U[53,2]","latent",1.02244511192866,68.5661574142177,99.5500882738197,1,"primary",6
"U[54,2]","latent",1.00229242789832,71.5961197050068,95.0761828388132,1,"primary",6
"U[55,2]","latent",1.01492736543942,73.7396089604031,78.9378612716764,1,"primary",6
"U[56,2]","latent",1.01147748974753,82.9790415313839,93.4809348093481,1,"primary",6
"U[57,2]","latent",1.02175874717189,72.8678914663056,59.6078431372548,1,"primary",6
"U[58,2]","latent",1.04654507278856,46.3174505159325,87.1124173401911,1,"primary",6
"U[59,2]","latent",1.03459270189785,70.4290109093116,91.4902449149025,1,"primary",6
"U[60,2]","latent",1.03438823337399,48.3031089748977,67.266900656188,1,"primary",6
"U[61,2]","latent",1.03977115576924,43.6508691188742,17.4112256586484,1,"primary",6
"U[62,2]","latent",1.01483497680985,99.5074827522114,93.4809348093481,1,"primary",6
"U[63,2]","latent",0.986278925465039,74.0609587507117,55.8981612446959,1,"primary",6
