"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[30,2]","latent",1.05161880340895,31.4608182985293,87.112417340191,1,"primary",6
"U[31,2]","latent",1.00040855920568,76.2459009262707,99.5500882738197,1,"primary",6
"U[32,2]","latent",1.05282174805164,39.9354157226573,78.9378612716763,1,"primary",6
"U[33,2]","latent",0.987032279006013,152.247198959355,98.7012987012987,1,"primary",6
"U[34,2]","latent",0.993253382524249,60.5315765243704,58.0750191036247,1,"primary",6
"U[35,2]","latent",1.05676747356155,42.4290873375332,57.9755501222494,1,"primary",6
"U[36,2]","latent",1.09075932408028,21.7105670608585,50.2978160158835,1,"primary",6
"U[37,2]","latent",1.0258710478529,55.2580882181634,39.52,1,"primary",6
"U[38,2]","latent",1.01691438393413,118.444905183341,87.112417340191,1,"primary",6
"U[39,2]","latent",1.00620730927747,91.1098527549989,87.9983890455095,1,"primary",6
"U[40,2]","latent",0.998240719497712,134.740266594139,93.4809348093481,1,"primary",6
"U[41,2]","latent",0.987881699136893,84.0060355265885,59.1960445663585,1,"primary",6
"U[42,2]","latent",1.01066808152714,62.8601555215455,55.8981612446959,1,"primary",6
"U[43,2]","latent",1.04421349952218,41.9237532022603,95.0761828388132,1,"primary",6
"U[44,2]","latent",0.991583126138672,79.7314205749907,60.3612003176906,1,"primary",6
"U[45,2]","latent",1.04450992139295,93.3319358789913,93.4809348093481,1,"primary",6
"U[46,2]","latent",1.00867233233451,70.4456911144052,96.4201003916377,1,"primary",6
"U[47,2]","latent",1.01625693633656,116.077101176629,81.0234541577826,1,"primary",6
"U[48,2]","latent",1.002074560234,67.1511504864159,76.9569428546272,1,"primary",6
"U[49,2]","latent",1.02350180893262,57.4611442535783,87.1124173401911,1,"primary",6
"U[50,2]","latent",0.999494300978234,88.1346410515572,75.0730115100499,1,"primary",6
"U[51,2]","latent",1.03313017133341,67.1382000655509,59.0732436472347,1,"primary",6
"U[52,2]","latent",1.01967765996563,69.3265791009088,81.0234541577825,1,"primary",6
"U[53,2]","latent",1.06945858691689,27.1205115615682,74.3789209535759,1,"primary",6
"U[54,2]","latent",1.01283522326842,84.9232985314108,91.4902449149025,1,"primary",6
"U[55,2]","latent",1.01342033902164,94.2378944528493,99.5500882738197,1,"primary",6
"U[56,2]","latent",1.01492838801177,89.7938014569555,65.0713501646542,1,"primary",6
"U[57,2]","latent",0.994709136776071,70.7756667428733,98.7012987012987,1,"primary",6
"U[58,2]","latent",1.03587934072532,70.5548691485778,59.7047270757145,1,"primary",6
"U[59,2]","latent",1.01223622056966,63.1596419741476,49.1799620662725,1,"primary",6
"U[60,2]","latent",1.03606058862726,42.4072006647669,57.9755501222494,1,"primary",6
"U[61,2]","latent",1.03066747739364,49.4248365471952,95.0761828388132,1,"primary",6
"U[62,2]","latent",1.02314369702947,71.214414584598,98.7012987012987,1,"primary",6
"U[63,2]","latent",0.980598619903301,79.1011204938334,79.5237236153708,1,"primary",6
"U[64,2]","latent",0.998032995273558,105.705810972182,74.3789209535759,1,"primary",6
"U[65,2]","latent",1.03530415560057,58.5808368119895,29.2532717474981,1,"primary",6
"U[66,2]","latent",1.03003804195818,48.7074985274148,43.9762611275964,1,"primary",6
"U[67,2]","latent",1.00267535253431,64.2843209478539,91.4902449149025,1,"primary",6
"U[68,2]","latent",1.00156231166043,74.344670274844,59.7047270757145,1,"primary",6
"U[69,2]","latent",0.985023796709353,96.8393252975223,75.6348661633493,1,"primary",6
